id,dealer_id,name,model,category,subcategory,serial_number,year_manufactured,status,health_score,daily_rate,hourly_rate,latitude,longitude,total_operating_hours,fuel_capacity,weight_tons,max_load_capacity,engine_power_hp,last_maintenance_date,next_maintenance_due,created_at
5d9f9295-5c32-4e83-b08e-c8f62318aa1e,6eedfe80-e252-41dc-b1b8-39024620b180,Bomag BW 213 Compactor,Bomag BW 213,Compactor,Compactor-Large,COM-FI398EO,2019,available,71.3,990.07,123.76,14.235075,74.950392,1641.2,253.2,12.9,,130.0,2026-07-29,2026-12-07,2023-08-06T12:49:41
4c21c115-2eeb-44b6-b2ca-7b22bf53d9f0,435422c3-08e5-4ecd-b663-9e664da0afaa,Komatsu HM400 Dump Truck,Komatsu HM400,Dump Truck,Dump Truck-Large,DUM-MD644DN,2020,available,99.8,1256.11,157.01,23.59623,82.159524,13199.9,465.5,48.7,57.5,368.0,2026-07-29,2026-09-15,2024-02-18T23:20:12
e87d5f74-e299-45fd-8c2e-8b861ec69ef0,8a0a9a5b-97fe-47c2-b856-40dfcd3620a9,CAT 950 Loader,CAT 950,Loader,Loader-Small,LOA-PU923RL,2023,available,95.5,876.8,109.6,21.294368,83.341575,2156.6,296.6,26.7,15.3,188.0,2026-07-29,2026-10-21,2026-01-07T05:19:18
214a10d4-9121-4f2f-94d1-ed3411e89c8e,bd3c8cdc-1cdf-4941-9911-3baa9ca8e01d,CAT CS56 Compactor,CAT CS56,Compactor,Compactor-Medium,COM-HG582US,2018,available,100.0,539.12,67.39,12.82558,86.25088,15840.1,304.4,11.5,,182.0,2026-07-29,2026-11-30,2024-07-29T07:21:38
7e626839-b994-4621-bcde-ddb6fe962558,435422c3-08e5-4ecd-b663-9e664da0afaa,CAT 740 Dump Truck,CAT 740,Dump Truck,Dump Truck-Small,DUM-BZ816XV,2023,maintenance,76.0,1054.85,131.86,23.68858,81.524254,1488.6,655.7,25.9,41.5,536.0,2026-07-29,2026-11-12,2023-10-31T06:55:38
2b98e130-e6ae-438b-bcf6-a122ba1e33b2,6df896d4-0bf0-427a-bb13-fd7605254905,Komatsu D65 Bulldozer,Komatsu D65,Bulldozer,Bulldozer-Small,BUL-OH090JW,2016,rented,94.9,1010.16,126.27,18.188356,86.809499,873.7,559.8,44.0,,227.0,2026-07-29,2026-09-24,2026-03-23T04:18:37
3a76d8e4-e510-4b2d-af15-231bf99e8c49,435422c3-08e5-4ecd-b663-9e664da0afaa,Volvo A40 Dump Truck,Volvo A40,Dump Truck,Dump Truck-Small,DUM-VZ980GS,2024,rented,91.6,1560.75,195.09,23.755682,82.34437,2541.1,620.2,38.0,60.4,399.0,2026-07-29,2026-10-20,2023-10-11T17:01:57
e9c48846-1477-402e-a082-7422aff333ad,435422c3-08e5-4ecd-b663-9e664da0afaa,Komatsu HM400 Dump Truck,Komatsu HM400,Dump Truck,Dump Truck-Medium,DUM-VC820DE,2019,available,78.5,1606.71,200.84,23.892044,82.098488,5442.3,625.8,29.0,60.8,524.0,2026-07-29,2026-09-10,2024-08-10T05:09:25
1482514b-3688-436f-8f93-e40476c3feda,6df896d4-0bf0-427a-bb13-fd7605254905,CAT 740 Dump Truck,CAT 740,Dump Truck,Dump Truck-Large,DUM-ES359TY,2015,rented,72.4,908.99,113.62,18.310609,87.592849,4082.0,552.2,25.2,40.0,473.0,2026-07-29,2026-11-21,2024-02-26T01:09:21
709f2cf2-0dcd-4b9d-bdda-006429eac83c,6eedfe80-e252-41dc-b1b8-39024620b180,CAT 770 Dump Truck,CAT 770,Dump Truck,Dump Truck-Large,DUM-XW406HG,2022,rented,65.5,1524.21,190.53,14.536283,75.619763,902.5,432.1,44.0,48.9,543.0,2026-07-29,2027-01-16,2024-08-23T04:36:02
