id,equipment_id,event_type,severity,title,description,is_acknowledged,acknowledged_by,event_time,created_at
2654c28d-c1b6-4024-92ae-cd853e6a019a,3cd91b5a-e33b-4f47-b44f-9f339b017282,excessive_idle,info,Excessive Idle Alert,Automated alert: excessive idle detected on Volvo EC220 Excavator,True,Nicole Bishop,2026-07-30T15:17:53,2026-07-30T15:16:32
600f099e-7335-4cc0-a393-2f736ec4a0db,b518d166-c271-4061-b5d9-4f864ffbea4d,maintenance_due,emergency,Maintenance Due Alert,Automated alert: maintenance due detected on Perkins 4008 Generator,True,Rachel Thomas,2026-07-30T15:19:29,2026-07-30T15:14:04
566db7ad-54b4-4491-a2ba-e22b19539572,a9fa082c-7485-4391-8f10-e651e8511893,overload_detected,info,Overload Detected Alert,Automated alert: overload detected detected on Bomag BW 213 Compactor,True,John Adams,2026-07-30T15:19:06,2026-07-30T15:18:20
e2c23844-0881-4336-856e-055c497a650f,54411a6d-67c8-4476-8f14-9964722d407e,battery_low,emergency,Battery Low Alert,Automated alert: battery low detected on Liebherr LTM 1100 Crane,True,Stephanie Duncan,2026-07-30T15:16:45,2026-07-30T15:19:40
c203cb46-66f3-496a-a660-f8e00a53a316,215e05b6-85bb-4941-850d-7f4508c4201b,speed_violation,critical,Speed Violation Alert,Automated alert: speed violation detected on Komatsu D65 Bulldozer,True,Jeffrey Young,2026-07-30T15:14:22,2026-07-30T15:18:01
fdf8b7bd-6362-431b-aaa9-422466de417c,0c312c42-76c0-4fd5-a0c3-c394c5555555,unauthorized_movement,info,Unauthorized Movement Alert,Automated alert: unauthorized movement detected on CAT DP50 Forklift,True,,2026-07-30T15:18:24,2026-07-30T15:16:08
71dbe5df-e2d0-4cfc-9994-9d231057a6c4,57c7795e-6fcf-4160-bc8c-b96d21cbee0b,fuel_low,warning,Fuel Low Alert,Automated alert: fuel low detected on CAT 330 Excavator,True,Ashlee Holt,2026-07-30T15:15:49,2026-07-30T15:16:14
201f63d8-4339-4f71-85fe-a01e6355ca75,0c312c42-76c0-4fd5-a0c3-c394c5555555,speed_violation,warning,Speed Violation Alert,Automated alert: speed violation detected on CAT DP50 Forklift,True,Anthony Walter,2026-07-30T15:14:16,2026-07-30T15:18:28
87e64279-a50c-4057-9837-034080572f4a,d4fcf864-c14f-4a53-b077-e119097b7211,maintenance_due,warning,Maintenance Due Alert,Automated alert: maintenance due detected on CAT DP50 Forklift,False,Autumn Wallace,2026-07-30T15:15:57,2026-07-30T15:18:20
20d911d1-868e-4f63-8079-da41a5365ff9,e1fd70f6-627d-4e4b-83eb-9cdc932452ed,speed_violation,info,Speed Violation Alert,Automated alert: speed violation detected on Liebherr LTM 1100 Crane,True,,2026-07-30T15:16:55,2026-07-30T15:19:34
81ff3eca-fe65-47e2-85a2-fde6e3ddbea2,4b215616-4579-4381-a2c1-209d11646376,unauthorized_movement,info,Unauthorized Movement Alert,Automated alert: unauthorized movement detected on Manitowoc 999 Crane,True,Jessica Patterson,2026-07-30T15:16:44,2026-07-30T15:19:50
