id,equipment_id,scheduled_date,completed_date,maintenance_type,description,parts_replaced,cost,technician_name,predicted_failure_component,ml_confidence_score,downtime_hours,is_completed,created_at
e805df99-c04e-471d-b671-47c6a9eba7d2,499abaa9-c7a5-44f5-a672-40edf44782fe,2026-07-02,2026-07-02,predictive,Predictive maintenance: bucket service,[],430.84,Miranda Williams,tracks/tires,0.833,1.4,True,2026-06-20
14a589c7-5a98-4495-a5e9-cba0ab89bcd3,81c0302e-89de-45fb-adf7-ccee6ebec7fc,2025-03-31,2025-04-02,predictive,Predictive maintenance: filters service,"[""bucket"", ""hydraulic_system""]",295.69,Riley Gordon,engine,0.678,2.2,True,2025-03-22
03a5711b-18f5-42ff-a2ac-bf6ca2b5294c,fb8e252b-b60a-4ca7-93ef-511390a4a69b,2026-01-03,2026-01-03,scheduled,Scheduled maintenance: belts service,[],316.34,Mackenzie Hawkins,,,4.2,True,2026-01-02
d1cfe973-2851-4296-889c-a22c990e4300,dd56e682-c874-40c4-ad19-d047d8dfd8dc,2025-04-30,2025-05-05,scheduled,Scheduled maintenance: bucket service,"[""transmission"", ""boom"", ""engine""]",251.05,Allison Welch,,,8.7,True,2025-04-18
1673e098-e928-49fb-9a37-218255ea3396,327125e1-ed4e-4a6f-91db-4e8dee4083cd,2024-09-03,2024-09-07,emergency,Emergency maintenance: transmission service,[],61.87,Gina Williams,,,1.8,True,2024-08-21
1055e20e-80f4-4c68-9b8f-c06cecf06442,6af0c8ad-c01b-4298-8b67-49018447806d,2024-12-06,2024-12-08,inspection,Inspection maintenance: tracks/tires service,"[""hydraulic_system""]",74.02,Nicole Owen,,,6.6,True,2024-11-23
343c087d-37da-446d-b5c3-55014fd33f01,a7037454-abe4-4fbb-9b42-86d1f7928404,2026-07-20,2026-07-20,emergency,Emergency maintenance: tracks/tires service,"[""hydraulic_system"", ""electrical"", ""bucket""]",53.79,Robert Pineda,,,13.2,True,2026-07-08
09b40396-f84c-483f-a8f9-f8ccba648a2d,c98a739e-0962-412c-9625-b5b78614d117,2026-03-29,2026-04-02,scheduled,Scheduled maintenance: electrical service,"[""electrical"", ""bucket"", ""transmission""]",78.86,Matthew Wallace,,,24.2,True,2026-03-21
e307e0a4-8ae4-4ba0-9ecf-fa62da0e1508,585722cb-3d5f-42da-8de2-7c764b80bdd5,2025-05-11,2025-05-12,predictive,Predictive maintenance: filters service,[],1334.84,Kimberly Campos,bucket,0.954,8.8,True,2025-05-10
c1033d3b-894c-49c9-9ce6-d2882556e648,60bd7bca-1222-4895-9831-63ce2ac7cfe8,2025-05-25,2025-05-30,inspection,Inspection maintenance: boom service,"[""hydraulic_system"", ""transmission"", ""engine""]",699.31,Robert Fuller,,,6.0,True,2025-05-20
75a4fc48-d25c-45b4-85fb-c46c1e740c77,45418852-2841-45b8-993c-98fa0322df4c,2025-02-03,2025-02-06,inspection,Inspection maintenance: filters service,[],165.2,Linda Fleming,,,2.6,True,2025-01-30
3d64a9d0-6f9a-4cad-93e1-ba40ebd8da14,34a02f6c-83c5-4f49-9d62-0761c17e248e,2025-12-07,2025-12-09,scheduled,Scheduled maintenance: tracks/tires service,"[""tracks/tires"", ""engine""]",647.28,Valerie Hunter,,,0.3,True,2025-12-04
