id,equipment_id,reading_time,engine_temp,hydraulic_pressure,battery_voltage,fuel_level,rpm,vibration_level,oil_pressure,coolant_temp,latitude,longitude,speed_kmh,is_anomaly,anomaly_score
5572d6e4-355a-4242-aa2a-ec01422003b9,5d9f9295-5c32-4e83-b08e-c8f62318aa1e,2026-06-30T15:19:55.517255,118.2,2058.9,8.9,40.7,1568.0,1.96,26.8,76.4,14.230315,74.955633,8.5,False,0.108
40db4aa4-0996-40c0-bb7b-eb23a3c746f6,5d9f9295-5c32-4e83-b08e-c8f62318aa1e,2026-06-30T16:17:28.802502,126.3,2223.4,8.8,60.3,1786.0,4.86,31.3,83.3,14.243556,74.950354,12.5,False,0.211
2e472bc5-14b9-4dce-9bc7-7fcc79a56974,5d9f9295-5c32-4e83-b08e-c8f62318aa1e,2026-06-30T19:48:39.451717,140.0,2299.7,9.0,81.0,1674.0,2.46,35.2,94.6,14.240105,74.945208,11.1,False,0.26
5fb85a31-ec79-48dd-9840-eb595df376dd,5d9f9295-5c32-4e83-b08e-c8f62318aa1e,2026-06-30T17:38:21.904221,120.2,1967.7,9.9,90.9,1865.0,2.05,30.8,88.4,14.239417,74.95526,10.2,False,0.002
486f0862-0837-4207-8f14-5c06521d3968,5d9f9295-5c32-4e83-b08e-c8f62318aa1e,2026-06-30T22:00:05.662361,126.3,2095.7,8.9,82.3,1800.0,4.54,22.5,90.1,14.22632,74.957113,0.0,False,0.261
c3a1bdc1-0281-43e0-bf04-456c5bb72fe9,5d9f9295-5c32-4e83-b08e-c8f62318aa1e,2026-07-01T08:47:26.234922,118.8,1925.6,9.0,49.6,1413.0,3.14,42.7,78.8,14.231615,74.959332,6.7,False,0.186
aca06844-9dca-4a55-869f-f19787b246f7,5d9f9295-5c32-4e83-b08e-c8f62318aa1e,2026-07-01T08:15:37.721525,119.0,2144.4,8.4,74.5,1410.0,2.11,30.8,67.5,14.234715,74.941938,14.5,False,0.264
578f702d-8a48-46fe-a3b5-819360b5b0af,5d9f9295-5c32-4e83-b08e-c8f62318aa1e,2026-06-30T22:00:30.579539,123.3,2055.4,9.1,76.3,1902.0,3.28,30.5,74.5,14.22646,74.954639,6.7,False,0.116
7361c336-0d47-4582-ae1c-16a14a96e0d3,5d9f9295-5c32-4e83-b08e-c8f62318aa1e,2026-07-01T14:12:05.201766,116.4,1987.9,8.4,42.4,2019.0,2.79,34.4,67.4,14.228516,74.948989,15.7,False,0.017
9c585f36-bd46-4b5f-945f-b281c82ad30d,5d9f9295-5c32-4e83-b08e-c8f62318aa1e,2026-07-01T17:26:50.503530,132.1,2218.9,8.7,62.6,2192.0,3.38,31.3,85.6,14.230687,74.957922,9.6,False,0.1
1bbe7e4c-8a26-4663-be9a-d02716753e10,5d9f9295-5c32-4e83-b08e-c8f62318aa1e,2026-07-01T15:21:28.012763,120.8,1996.3,9.0,45.5,1302.0,4.04,31.1,68.2,14.232892,74.955175,10.9,False,0.127
a25da476-3b22-43f6-8c3f-369ecd5932b4,5d9f9295-5c32-4e83-b08e-c8f62318aa1e,2026-07-02T05:56:19.286256,113.2,2107.4,9.3,60.2,1716.0,4.2,36.1,73.4,14.24379,74.957296,0.9,False,0.231
0f485c6f-01b6-4783-88bf-404f8aeb37e7,5d9f9295-5c32-4e83-b08e-c8f62318aa1e,2026-06-30T22:19:34.973357,118.3,2139.6,9.1,45.7,1586.0,4.09,30.8,64.1,14.232835,74.953675,17.4,False,0.152
ba205e76-d5d2-425f-bb26-d3271cb8cbcd,5d9f9295-5c32-4e83-b08e-c8f62318aa1e,2026-07-02T07:44:49.475921,113.7,1851.7,9.5,84.8,2070.0,3.8,34.4,62.1,14.232582,74.947167,0.0,False,0.253
48b07987-22d3-415e-b430-d3dc34b5cf1d,5d9f9295-5c32-4e83-b08e-c8f62318aa1e,2026-07-02T10:40:51.041546,110.4,2109.4,9.2,28.1,1819.0,3.38,32.7,78.8,14.226645,74.942972,0.0,False,0.259
80490104-57fc-494e-ac2f-594af49565c5,5d9f9295-5c32-4e83-b08e-c8f62318aa1e,2026-07-02T14:54:28.400164,121.8,2309.8,8.4,64.6,1453.0,3.91,34.6,95.4,14.225594,74.94818,10.9,False,0.162
fd49efbc-562f-4a3c-b70b-0da2abb35b95,5d9f9295-5c32-4e83-b08e-c8f62318aa1e,2026-07-03T03:28:58.474191,122.5,2222.3,8.8,91.2,2014.0,3.23,30.0,86.2,14.225623,74.940925,0.0,False,0.288
